ssn,fico_scr,DailyRate,Department,HourlyRate,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,employee_no,depart_dt,Education,EducationField,Gender,first_name,birth_state,birth_dt,hire_dt,BusinessTravel,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
426632008,711,1427,Research & Development,65,2693,No,19,3,0,2316,,1,Other,Female,KALKIDAN,TX,06/26/95,06/26/15,,,,,,,,,,,,,,,
770675241,750,1142,Research & Development,72,4069,Yes,18,3,0,2583,,2,Life Sciences,Male,SAHMIR,AL,07/26/76,03/06/15,Non-Travel,8,4,3,2,4,Divorced,3,3,8,2,3,2,2,2
847952805,758,397,Research & Development,54,7756,Yes,19,3,1,2807,,2,Medical,Female,LINO,AL,08/23/78,01/12/12,Travel_Rarely,2,4,2,3,3,Married,3,4,10,6,4,4,0,2
348649455,702,314,Human Resources,59,19189,No,12,3,1,3361,,3,Human Resources,Male,ASHBY,AL,06/29/75,08/06/94,Travel_Rarely,1,4,2,5,3,Married,1,2,22,3,3,7,2,10
265441378,693,1355,Human Resources,61,2942,No,23,4,1,3408,,1,Life Sciences,Female,MAZIE,KY,10/14/90,10/14/08,,,,,,,,,,,,,,,
755994420,748,926,Research & Development,36,5265,No,16,3,1,3466,,2,Medical,Female,ANALY,TN,06/03/74,06/03/11,,,,,,,,,,,,,,,
170103276,682,807,Research & Development,38,2437,Yes,16,3,1,3512,,3,Technical Degree,Male,ZYMEIR,OK,03/10/74,03/09/16,,,,,,,,,,,,,,,
760886385,749,458,Research & Development,74,3544,No,16,3,1,3870,,2,Life Sciences,Male,HRIDAY,LA,04/29/77,04/29/13,,,,,,,,,,,,,,,
736528184,743,448,Sales,74,2033,No,18,3,1,4043,09/19/16,4,Life Sciences,Male,DILLION,AL,08/06/86,09/19/15,Travel_Frequently,12,2,2,1,1,Married,1,3,1,2,4,0,0,0
787671561,746,288,Research & Development,99,4152,No,19,3,3,4259,,3,Life Sciences,Male,RANDALL,IA,02/10/87,02/10/06,,,,,,,,,,,,,,,
538978408,752,827,Research & Development,84,5488,Yes,13,3,1,4719,,4,Other,Female,KATHALEYA,HI,03/07/84,03/08/11,,,,,,,,,,,,,,,
263428781,724,1449,Research & Development,45,2373,Yes,13,3,1,4773,,4,Medical,N/A,DUTCH,,12/04/90,12/04/13,,,,,,,,,,,,,,,
